variable	label
b18_31	2ND ACCIDENT INJURY, DESCRIPTN 2 ICD CODE
b18_32a	2ND ACCIDENT INJURY, DESCRTN 3 ICD CODE(A)
b18_32b	2ND ACCIDENT INJURY, DESCRTN 3 ICD CODE(B)
b18_33	2ND ACCIDENT, WHERE TREATED
b18_34	2ND ACCIDENT, TREATMENT CODE 1
b18_35	2ND ACCIDENT, TREATMENT CODE 2
b18_36	3RD ACCIDENT, AGE
b18_37	3RD ACCIDENT, WHERE IT OCCURED
b18_38	3RD ACCIDENT, WHAT HAPPENED 1
b18_39	3RD ACCIDENT, WHAT HAPPENED 2
b18_40	3RD ACCIDENT, WHAT HAPPENED 3
b18_41	3RD ACCIDENT, WHAT HAPPENED 4
b18_42	3RD ACCIDENT, WHAT HAPPENED 5
b18_43	3RD ACCIDENT, WHAT HAPPENED 6
b18_44	3RD ACCIDENT INJURY, DESCRIPTN 1 ICD CODE
b18_45	3RD ACCIDENT INJURY, DESCRIPTN 2 ICD CODE
b18_46	3RD ACCIDENT INJURY, DESCRIPTN 3 ICD CODE
b18_47	3RD ACCIDENT, WHERE TREATED
b18_48	3RD ACCIDENT, TREATMENT CODE 1
b18_49	3RD ACCIDENT, TREATMENT CODE 2
b18_50	4TH ACCIDENT, AGE
b18_51	4TH ACCIDENT, WHERE IT OCCURED
b18_52	4TH ACCIDENT, WHAT HAPPENED 1
b18_53	4TH ACCIDENT, WHAT HAPPENED 2
b18_54	4TH ACCIDENT, WHAT HAPPENED 3
b18_55	4TH ACCIDENT, WHAT HAPPENED 4
b18_56	4TH ACCIDENT, WHAT HAPPENED 5
b18_57	4TH ACCIDENT, WHAT HAPPENED 6
b18_58	4TH ACCIDENT INJURY, DESCRIPTN 1 ICD CODE
b18_59	4TH ACCIDENT INJURY, DESCRIPTN 2 ICD CODE
b18_60	4TH ACCIDENT INJURY, DESCRIPTN 3 ICD CODE
b18_61	4TH ACCIDENT, WHERE TREATED
b18_62	4TH ACCIDENT, TREATMENT CODE 1
b18_63	4TH ACCIDENT, TREATMENT CODE 2
b19_1	ANY OTHER ILLNESSES NOT ALREADY DESCRIBED
b19_2	ANY OTHER ILLNESS TEXT POOL ID 1
b19_3	ANY OTHER ILLNESS TEXT POOL ID 2
b19_4	ANY OTHER ILLNESS TEXT POOL ID 3
b20_1	CHILD EVER BEEN TO SPEECH THERAPIST
b20_2	REASON CHILD BEEN TO SPEECH THERAPIST
b20_3	CHILD EVER BEEN TO CHILD/FAMILY GUIDANCE
b20_4	REASON CHILD BEEN TO CHILD/FAMILY GUIDANCE
b20_5	CHILD EVER BEEN TO CHILD PSYCHIATRIST
b20_6	REASON CHILD BEEN TO CHILD PSYCHIATRIST
b20_7	CHILD EVER BEEN TO OCCUPATIONAL THERAPY
b20_8	REASON CHILD BEEN TO OCCUPATIONAL THERAPY
b20_9	CHILD EVER BEEN TO PHYSIOTHERAPIST
b20_10	REASON CHILD BEEN TO PHYSIOTHERAPIST
b21_1	PAST 12MNTHS CHILD SEEN BY GENERAL PRACTITIONER
b21_2	PAST 12MNTHS CHILD SEEN BY HEALTH VISITOR
b21_3	PAST 12MNTHS CHILD SEEN BY SOCIAL WORKER
b21_4	REASON SEEN BY GP TEXT POOL IDENTIFIER
b21_5	REASON SEEN BY HV TEXT POOL IDENTIFIER
b21_6	REASON SEEN BY SOCIAL WORKER TEXT POOL ID
b21_7	PAST 12MNTHS SEEN BY SCHOOL DENTAL SERVICE
b21_8	REASON SEEN BY SCHOOL DENTAL SERVICE
b21_9	PAST 12MNTHS SEEN BY NHS, PRIVATE DENTIST
b21_10	REASON SEEN BY NHS, PRIVATE DENTIST
b22_1	PAST 12MNTHS MISS SCH HEALTH,EMOT.REASON
b22_2	REASON MISSED SCHOOL 1, TEXT POOL ID
b22_3	REASON MISSED SCHOOL 2, TEXT POOL ID
b22_4	REASON MISSED SCHOOL 3, TEXT POOL ID
b23_1	1ST DRUG TAKEN PAST 7 DAYS ORL CODE
b23_2	1ST DRUG TAKEN PAST 7 DAYS REASON ICD CODE
b23_3	1ST DRUG TAKEN PAST 7 DAYS HOW OFTEN
b23_4	2ND DRUG TAKEN PAST 7 DAYS ORL CODE
b23_5	2ND DRUG TAKEN PAST 7 DAYS REASON ICD CODE
b23_6	2ND DRUG TAKEN PAST 7 DAYS HOW OFTEN
b23_7	3RD DRUG TAKEN PAST 7 DAYS ORL CODE
b23_8	3RD DRUG TAKEN PAST 7 DAYS REASON ICD CODE
b23_9	3RD DRUG TAKEN PAST 7 DAYS HOW OFTEN
b23_10	4TH DRUG TAKEN PAST 7 DAYS ORL CODE
b23_11	4TH DRUG TAKEN PAST 7 DAYS REASON ICD CODE
b23_12	4TH DRUG TAKEN PAST 7 DAYS HOW OFTEN
b23_13	5TH DRUG TAKEN PAST 7 DAYS ORL CODE
b23_14	5TH DRUG TAKEN PAST 7 DAYS REASON ICD CODE
b23_15	5TH DRUG TAKEN PAST 7 DAYS HOW OFTEN
b24_1	DISABILITY INTERFERE WITH ORDINARY LIFE
b24_2	DISABILITY DIAGNOSIS, TEXT POOL ID 1
b24_3	DISABILITY DIAGNOSIS, TEXT POOL ID 2
b24_4	DISABILITY DIAGNOSIS, TEXT POOL ID 3
c1_1	FATHER'S QUALIFICATIONS: TRADE APPRENTICE
c1_2	FATHER'S QUALIFICATIONS: O LEVEL
c1_3	FATHER'S QUALIFICATIONS: A LEVEL
c1_4	FATHER'S QUALIFICATIONS: SRN
c1_5	FATHER'S QUALIFICATIONS: CERT ED
c1_6	FATHER'S QUALIFICATIONS: DEGREE
c1_7	FATHER'S QUALIFICATIONS: OTHER
c1_8	FATHER'S QUALIFICATIONS: OTHER, CLASSIFIED
c1_9	FATHER'S QUALIFICATIONS: NO QUALIFICATIONS
c1_10	FATHER'S QUALIFICATIONS: NO MALE HEAD
c1_11	FATHER'S QUALIFICATIONS: NOT KNOWN
c1_12	MOTHER'S QUALIFICATIONS: TRADE APPRENTICE
c1_13	MOTHER'S QUALIFICATIONS: O LEVEL
c1_14	MOTHER'S QUALIFICATIONS: A LEVEL
c1_15	MOTHER'S QUALIFICATIONS: SRN
c1_16	MOTHER'S QUALIFICATIONS: CERT ED
c1_17	MOTHER'S QUALIFICATIONS: DEGREE
c1_18	MOTHER'S QUALIFICATIONS: OTHER
c1_19	MOTHER'S QUALIFICATIONS: OTHER, CLASSIFIED
c1_20	MOTHER'S QUALIFICATIONS: NO QUALIFICATIONS
c1_21	MOTHER'S QUALIFICATIONS: NO MALE HEAD
c1_22	MOTHER'S QUALIFICATIONS: NOT KNOWN
c2_1	FATHER'S EMPLOYMENT: REGULAR PAID JOB
c2_2	FATHER'S EMPLOYMENT: WORKS OCCASIONALLY
c2_3	FATHER'S EMPLOYMENT: SEEKING WORK
c2_4	FATHER'S EMPLOYMENT: LOOKS AFTER HOME
c2_5	FATHER'S EMPLOYMENT: NOT IN PAID JOB
c2_6	FATHER'S EMPLOYMENT: REASON NOT PAID JOB
c2_7	FATHER'S EMPLOYMENT: OTHER EMPLOYMENT SITUATION
c2_8	FATHER'S EMPLOYMENT: NO MALE HEAD IN HOUSE
c2_9	MOTHER'S EMPLOYMENT: REGULAR PAID JOB
c2_10	MOTHER'S EMPLOYMENT: WORKS OCCASIONALLY
c2_11	MOTHER'S EMPLOYMENT: SEEKING WORK
c2_12	MOTHER'S EMPLOYMENT: LOOKS AFTER HOME
c2_13	MOTHER'S EMPLOYMENT: NOT IN PAID JOB
c2_14	MOTHER'S EMPLOYMENT: REASON NOT PAID JOB
c2_15	MOTHER'S EMPLOYMENT: OTHER EMPLOYMENT SITUATION
c2_16	MOTHER'S EMPLOYMENT: NO FEMALE HEAD IN HOUSE
c2_17a	TIME SINCE FATHER LAST IN PAID JOB (YY)
c2_17b	TIME SINCE FATHER LAST IN PAID JOB (MM)
c2_18a	TIME SINCE MOTHER LAST IN PAID JOB (YY)
c2_18b	TIME SINCE MOTHER LAST IN PAID JOB (MM)
c3_1a	FATHER'S EMPLOYMENT, DESCRIPTION OF JOB(A)
c3_1b	FATHER'S EMPLOYMENT, DESCRIPTION OF JOB(B)
c3_1c	FATHER'S EMPLOYMENT, DESCRIPTION OF JOB(C)
c3_2	FATHER'S CORRECTED SOCIAL VARS OUG 1980
c3_3	FATHER'S EMPLOYMENT 1970 OUG
c3_4	FATHER'S CORRECTED SOCIAL CLASS 1980
c3_5	FATHER'S CORRECTED SOCIAL CLASS 1970
c3_6	FATHER'S EMPLOYMENT, TYPE OF INDUSTRY
c3_7	FATHER'S EMPLOYMENT, INDUSTRY CODE
c3_8a	MOTHER'S EMPLOYMENT, DESCRIPTION OF JOB(A)
c3_8b	MOTHER'S EMPLOYMENT, DESCRIPTION OF JOB(B)
c3_8c	MOTHER'S EMPLOYMENT, DESCRIPTION OF JOB(C)
c3_9	MOTHER'S CORRECTED SOCIAL VARS OUG 1980
c3_10	MOTHER'S EMPLOYMENT 1970 OUG
c3_11	MOTHER'S CORRECTED SOCIAL CLASS 1980
c3_12	MOTHER'S CORRECTED SOCIAL CLASS 1970
c3_13a	MOTHER'S EMPLOYMENT, TYPE OF INDUSTRY(A)
c3_13b	MOTHER'S EMPLOYMENT, TYPE OF INDUSTRY(B)
c3_14	MOTHER'S EMPLOYMENT, INDUSTRY CODE
c4_1a	FATHER'S CORRECTED EMPLOYMENT STATUS '80
c4_1b	FATHER'S CORRECTED EMPLOYMENT STATUS '70
c4_2a	MOTHER'S CORRECTED EMPLOYMENT STATUS '80
c4_2b	MOTHER'S CORRECTED EMPLOYMENT STATUS '70
c5_1	HOURS FATHER WORKED LAST WORKING WEEK
c5_2	HOURS MOTHER WORKED LAST WORKING WEEK
c6_1	FATHER WORKED NONSTANDARD HOURS SATURDAY
c6_2	FATHER WORKED NONSTANDARD HOURS SUNDAY
c6_3	FATHER WORKED NONSTANDARD HRS EARLY/LATE
c6_4	FATHER WORKED NONSTANDARD HOURS NOT WORK
c6_5	FATHER WORKED NONSTANDARD HOURS OTHER
c6_6	FATHER WORKED NONSTANDARD HRS OTHER CODE
c6_7	FATHER WORKED NONSTANDARD HRS NOT IN JOB
c6_8	MOTHER WORKED NONSTANDARD HOURS SATURDAY
c6_9	MOTHER WORKED NONSTANDARD HOURS SUNDAY
c6_10	MOTHER WORKED NONSTANDARD HRS EARLY/LATE
c6_11	MOTHER WORKED NONSTANDARD HOURS NOT WORK
c6_12	MOTHER WORKED NONSTANDARD HOURS OTHER
c6_13	MOTHER WORKED NONSTANDARD HRS OTHER CODE
c6_14	MOTHER WORKED NONSTANDARD HRS NOT IN JOB
c7_1	MOTHER WORKED DURING SUMMER HOLIDAYS
c7_2	WHO LOOKED AFTER CHILD WHILE MOTHER WORKED
c8_1	FAMILY RECEIVED CHILD BENEFIT
c8_2	FAMILY RECEIVED CHILD BENEFIT INCREASE
c8_3	FAMILY RECEIVED FAMILY INCOME SUPPLEMENT
c8_4	FAMILY RECEIVED SUPPLEMENTARY BENEFIT
c8_5	FAMILY RECEIVED WIDOW'S/WIDOWED MOTHER'S BENEFIT
c8_6	FAMILY RECEIVED RETIREMENT PENSION
c8_7	FAMILY RECEIVED SICKNESS BENEFIT
c8_8	FAMILY RECEIVED DISABLEMENT PENSION
c8_9	FAMILY RECEIVED ATTENDANCE ALLOWANCE
c8_10	FAMILY RECEIVED UNEMPLOYMENT BENEFIT
c8_11	FAMILY RECEIVED OTHER BENEFIT
c8_12	FAMILY RECEIVED OTHER BENEFIT WHICH TYPE
c9_1	TOTAL GROSS FAMILY INCOME UNDER 35PW
c9_2	TOTAL GROSS FAMILY INCOME 35 - 49PW
c9_3	TOTAL GROSS FAMILY INCOME 50 - 99PW
c9_4	TOTAL GROSS FAMILY INCOME 100 - 149PW
c9_5	TOTAL GROSS FAMILY INCOME 150 - 199PW
c9_6	TOTAL GROSS FAMILY INCOME 200 - 249PW
c9_7	TOTAL GROSS FAMILY INCOME 250 OR MORE
c9_8	TOTAL GROSS FAMILY INCOME COMMENTS
d1_1	WHAT ACCOMMODATION OCCUPIED BY FAMILY
d1_2	FLAT, ROOMS WHICH IS LOWEST FLOOR
d1_3	ABOVE GROUND FLOOR WHICH FLOOR NUMBER
d2	IS ACCOMMODATION OWNED OR RENTED?
d3_1	HAS FAMILY USE OF BATHROOM?
d3_2	HAS FAMILY USE OF KITCHEN?
d4	IS KITCHEN AT LEAST 2 METRES WIDE?
d5_1	TOTAL NUMBER OF ROOMS
d5_2	NUMBER OF BEDROOMS
d6_1	METHOD OF HEATING: GAS FIRES
d6_2	METHOD OF HEATING: ELECTRIC FIRES
d6_3	METHOD OF HEATING: NIGHT STORAGE HEATERS
d6_4	METHOD OF HEATING: OPEN COAL FIRES
d6_5	METHOD OF HEATING: PARAFFIN HEATER
d6_6	METHOD OF HEATING: FULL CENTRAL HEATING
d6_7	METHOD OF HEATING: PART CENTRAL HEATING
d6_8	METHOD OF HEATING: OTHER METHOD
d6_9	OTHER METHOD OF HEATING, WHICH TYPE 1
d6_10	OTHER METHOD OF HEATING, WHICH TYPE 2
d6_11	OTHER METHOD OF HEATING, WHICH TYPE 3
d6_12	IF GAS FIRE, IS IT FREE STANDING?
d6_13	IF CENTRAL HEATING, WHICH FUEL USED?
d6_14	WHICH IS MAIN METHOD OF HEATING USED?
d7_1	HAS GAS EVER BEEN USED FOR COOKING?
d7_2	NUMBER OF YEARS GAS USED FOR COOKING
d8_1	IS ACCOMMODATION AFFECTED BY DAMP?
d8_2	ROOMS AFFECTED BY DAMP: KITCHEN, BATHROOM
d8_3	ROOMS AFFECTED BY DAMP: LIVING ROOMS
d8_4	ROOMS AFFECTED BY DAMP: BEDROOMS
d8_5	ROOMS AFFECTED BY DAMP: OTHER ROOMS
e1_1	MOTHER'S HEIGHT IN CMS
e1_2	MOTHER'S WEIGHT IN KGS
e2_1	FATHER'S HEIGHT IN CMS
e2_2	FATHER'S WEIGHT IN KGS
e3_1	SINCE CHILD 5YR ILLNESS IN FAMILY MOTHER
e3_2	SINCE CHILD 5YR ILLNESS IN FAMILY FATHER
e3_3	SINCE CHILD 5YR ILLNESS IN FAMILY OTHER
e3_4	SINCE CHILD 5YR ILLNESS IN FAMILY NO ONE
e3_5	1ST PERSON ILLNESS RELATIONSHIP
e3_6a	1ST PERSON ILLNESS 1ST DIAGNOSIS (A)
e3_6b	1ST PERSON ILLNESS 1ST DIAGNOSIS (B)
e3_7	1ST PERSON ILLNESS 1ST DIAG ICD CODE
e3_8	1ST PERSON ILLNESS 2ND DIAGNOSIS
e3_9	1ST PERSON ILLNESS 2ND DIAG ICD CODE
e3_10	1ST PERSON ILLNESS YEAR OF ONSET
e3_11a	1ST PERSON ILLNESS DURATION (YY)
e3_11b	1ST PERSON ILLNESS DURATION (MM)
e3_12	1ST PERSON ILLNESS OUTCOME
e3_13	1ST PERSON ILLNESS INTERFERE WITH CHILD
e3_14	2ND PERSON ILLNESS RELATIONSHIP
e3_15a	2ND PERSON ILLNESS 1ST DIAGNOSIS (A)
e3_15b	2ND PERSON ILLNESS 1ST DIAGNOSIS (B)
e3_16	2ND PERSON ILLNESS 1ST DIAG ICD CODE
e3_17	2ND PERSON ILLNESS 2ND DIAGNOSIS
e3_18	2ND PERSON ILLNESS 2ND DIAG ICD CODE
e3_19	2ND PERSON ILLNESS YEAR OF ONSET
e3_20a	2ND PERSON ILLNESS DURATION (YY)
e3_20b	2ND PERSON ILLNESS DURATION (MM)
e3_21	2ND PERSON ILLNESS OUTCOME
e3_22	2ND PERSON ILLNESS INTERFERE WITH CHILD
e3_23	3RD PERSON ILLNESS RELATIONSHIP
e3_24a	3RD PERSON ILLNESS 1ST DIAGNOSIS (A)
e3_24b	3RD PERSON ILLNESS 1ST DIAGNOSIS (B)
e3_25	3RD PERSON ILLNESS 1ST DIAG ICD CODE
e3_26	3RD PERSON ILLNESS 2ND DIAGNOSIS
e3_27	3RD PERSON ILLNESS 2ND DIAG ICD CODE
e3_28	3RD PERSON ILLNESS YEAR OF ONSET
e3_29a	3RD PERSON ILLNESS DURATION (YY)
e3_29b	3RD PERSON ILLNESS DURATION (MM)
e3_30	3RD PERSON ILLNESS OUTCOME
e3_31	3RD PERSON ILLNESS INTERFERE WITH CHILD
e3_32	ILLNESS IN FAMILY, NO. OF PEOPLE CODED
e3_33	ILLNESS IN FAMILY, NUMBER DIAG PERSON 1
e3_34	ILLNESS IN FAMILY, NUMBER DIAG PERSON 2
e3_35	ILLNESS IN FAMILY, NUMBER DIAG PERSON 3
e4_1	DID MOTHER DRINK DURING PREGNANCY, EARLY
e4_2	DID MOTHER DRINK DURING PREGNANCY, LATER
e4_3	EARLY PREGNANCY DRINK, TEXT POOL IDENT 1
e4_4	EARLY PREGNANCY DRINK, TEXT POOL IDENT 2
e5_1	COUGH IN MORNING: CHILD
e5_2	COUGH IN MORNING: MOTHER
e5_3	COUGH IN MORNING: FATHER
e6_1	COUGH DURING DAY, NIGHT: CHILD
e6_2	COUGH DURING DAY, NIGHT: MOTHER
e6_3	COUGH DURING DAY, NIGHT: FATHER
e7_1	PHLEGM IN MORNING: CHILD
e7_2	PHLEGM IN MORNING: MOTHER
e7_3	PHLEGM IN MORNING: FATHER
e8_1	PHLEGM DURING DAY, NIGHT: CHILD
e8_2	PHLEGM DURING DAY, NIGHT: MOTHER
e8_3	PHLEGM DURING DAY, NIGHT: FATHER
e9_1	MOTHER'S PRESENT SMOKING HABITS
e9_2	NO. OF CIGARETTES MOTHER SMOKES DAILY
e9_3	LENGTH OF TIME MOTHER HAS SMOKED
e10_1	MOTHER NON SMOKER NOW HAS SMOKED IN PAST
e10_2	NO. OF CIGARETTES MOTHER SMOKED PAST
e10_3	LENGTH OF TIME MOTHER BEEN NON SMOKER
e11_1	FATHER'S PRESENT SMOKING HABITS
e11_2	NO. OF CIGARETTES FATHER SMOKES DAILY
e11_3	LENGTH OF TIME FATHER HAS SMOKED
e12_1	FATHER NON SMOKER NOW HAS SMOKED IN PAST
e12_2	NO. OF CIGARETTES FATHER SMOKED PAST
e12_3	LENGTH OF TIME FATHER BEEN NON SMOKER
e13_1	ANY OTHER PERSON IN HOUSE SMOKES
e13_2	HOW MANY OTHER PEOPLE SMOKE IN HOUSE?
back1p	FURTHER COMMENTS PRESENT ON BACK PAGE
back2p	WILLING FOR MEDICAL RECORDS BE CONSULTED
back3p	PARENTAL FORM SIGNED
back4ap	DATE OF PARENTAL INTERVIEW (DD)
back4bp	DATE OF PARENTAL INTERVIEW (MM)
back4cp	DATE OF PARENTAL INTERVIEW (YY)
back5p	FATHER'S CORRECTED EMPLOYMENT SITUATION
back6p	FATHER'S CORRECTED OCCUP CODE 1980
back7p	FATHER'S CORRECTED OCCUP CODE 1970
back10p	FATHER'S CORRECTED SOCIAL VARS SEG 1980
back14p	FATHER'S CORRECTED SOCIAL VARS SEG 1970
back15p	MOTHER'S CORRECTED EMPLOYMENT SITUATION
back16p	MOTHER'S CORRECTED OCCUP CODE 1980
back17p	MOTHER'S CORRECTED OCCUP CODE 1970
back20p	MOTHER'S CORRECTED SOCIAL VARS SEG 1980
back24p	MOTHER'S CORRECTED SOCIAL VARS SEG 1970
pent1_1	TEXT POOL ENTRY 1 POINTER
pent1_2	TEXT POOL ENTRY 1 ICD CODE
pent1_3	TEXT POOL ENTRY 1 TEXT STRING 30 CHARS
pent2_1	TEXT POOL ENTRY 2 POINTER
pent2_2	TEXT POOL ENTRY 2 ICD CODE
pent2_3	TEXT POOL ENTRY 2 TEXT STRING 30 CHARS
pent3_1	TEXT POOL ENTRY 3 POINTER
pent3_2	TEXT POOL ENTRY 3 ICD CODE
pent3_3	TEXT POOL ENTRY 3 TEXT STRING 30 CHARS
pent4_1	TEXT POOL ENTRY 4 POINTER
pent4_2	TEXT POOL ENTRY 4 ICD CODE
pent4_3	TEXT POOL ENTRY 4 TEXT STRING 30 CHARS
pent5_1	TEXT POOL ENTRY 5 POINTER
pent5_2	TEXT POOL ENTRY 5 ICD CODE
pent5_3	TEXT POOL ENTRY 5 TEXT STRING 30 CHARS
pent6_1	TEXT POOL ENTRY 6 POINTER
pent6_2	TEXT POOL ENTRY 6 ICD CODE
pent6_3	TEXT POOL ENTRY 6 TEXT STRING 30 CHARS
pent7_1	TEXT POOL ENTRY 7 POINETR
pent7_2	TEXT POOL ENTRY 7 ICD CODE
pent7_3	TEXT POOL ENTRY 7 TEXT STRING 30 CHARS
pent8_1	TEXT POOL ENTRY 8 POINTER
pent8_2	TEXT POOL ENTRY 8 ICD CODE
pent8_3	TEXT POOL ENTRY 8 TEXT STRING 30 CHARS
pent9_1	TEXT POOL ENTRY 9 POINTER
pent9_2	TEXT POOL ENTRY 9 ICD CODE
pent9_3	TEXT POOL ENTRY 9 TEXT STRING 30 CHARS
pent10_1	TEXT POOL ENTRY 10 POINTER
pent10_2	TEXT POOL ENTRY 10 ICD CODE
pent10_3	TEXT POOL ENTRY 10 TEXT STRING 30 CHARS
pent11_1	TEXT POOL ENTRY 11 POINTER
pent11_2	TEXT POOL ENTRY 11 ICD CODE
pent11_3	TEXT POOL ENTRY 11 TEXT STRING 30 CHARS
pent12_1	TEXT POOL ENTRY 12 POINTER
pent12_2	TEXT POOL ENTRY 12 ICD CODE
pent12_3	TEXT POOL ENTRY 12 TEXT STRING 30 CHARS
pent13_1	TEXT POOL ENTRY 13 POINTER
pent13_2	TEXT POOL ENTRY 13 ICD CODE
pent13_3	TEXT POOL ENTRY 13 TEXT STRING 30 CHARS
pent14_1	TEXT POOL ENTRY 14 POINTER
pent14_2	TEXT POOL ENTRY 14 ICD CODE
pent14_3	TEXT POOL ENTRY 14 TEXT STRING 30 CHARS
pent15_1	TEXT POOL ENTRY 15 POINTER
pent15_2	TEXT POOL ENTRY 15 ICD CODE
pent15_3	TEXT POOL ENTRY 15 TEXT STRING 30 CHARS
pent16_1	TEXT POOL ENTRY 16 POINTER
pent16_2	TEXT POOL ENTRY 16 ICD CODE
pent16_3	TEXT POOL ENTRY 16 TEXT STRING 30 CHARS
pent17_1	TEXT POOL ENTRY 17 POINTER
pent17_2	TEXT POOL ENTRY 17 ICD CODE
pent17_3	TEXT POOL ENTRY 17 TEXT STRING 30 CHARS
pent18_1	TEXT POOL ENTRY 18 POINTER
pent18_2	TEXT POOL ENTRY 18 ICD CODE
pent18_3	TEXT POOL ENTRY 18 TEXT STRING 30 CHARS
pent19_1	TEXT POOL ENTRY 19 POINTER
pent19_2	TEXT POOL ENTRY 19 ICD CODE
pent19_3	TEXT POOL ENTRY 19 TEXT STRING 30 CHARS
pent20_1	TEXT POOL ENTRY 20 POINTER
pent20_2	TEXT POOL ENTRY 20 ICD CODE
pent20_3	TEXT POOL ENTRY 20 TEXT STRING 30 CHARS
code	MEDICAL CODER CODE
examdata	DATE OF MEDICAL EXAMINATION (DD)
examdatb	DATE OF MEDICAL EXAMINATION (MM)
examdatc	DATE OF MEDICAL EXAMINATION (YY)
status	STATUS OF EXAMINING MEDICAL OFFICER
mea1	ARE SCHOOL MEDICAL RECORDS AVAILABLE?
mea2_1	ARE OTHER CHILD HEALTH RECORDS AVAILABLE?
mea2_2	OTHER HEALTH RECORDS, TYPE OF 1ST OTHER
mea2_3	OTHER HEALTH RECORDS, TYPE OF 2ND OTHER
mea2_4	OTHER HEALTH RECORDS, TYPE OF 3RD OTHER
mea2_5	OTHER HEALTH RECORDS, TYPE OF 4TH OTHER
mea2_6	OTHER HEALTH RECORDS, TYPE OF 5TH OTHER
mea2_7	OTHER HEALTH RECORDS, TYPE OF 6TH OTHER
mea3_1	EVER HAD SCHOOL MEDICAL EXAMINATION?
mea3_2	AGE OF 1ST SCHOOL MED EXAMINATION
mea3_3	AGE OF 2ND SCHOOL MED EXAMINATION
mea3_4	AGE OF 3RD SCHOOL MED EXAMINATION
mea3_5	AGE OF 4TH SCHOOL MED EXAMINATION
mea3_6	AGE OF 5TH SCHOOL MED EXAMINATION
mea3_7	AGE OF 6TH SCHOOL MED EXAMINATION
mea3_8	DID CHILD HAVE PRE SCHOOL MED EXAM?
mea3_9	TEXT FOR EXTRA INFO ON SCHOOL MED EXAMS
mea4_1	SCREENING/AUDIOGRAM NOT CARRIED OUT
mea4_2	SCREENING/AUDIOGRAM AT 4
mea4_3	SCREENING/AUDIOGRAM AT 5
mea4_4	SCREENING/AUDIOGRAM AT 6
mea4_5	SCREENING/AUDIOGRAM AT 7
mea4_6	SCREENING/AUDIOGRAM AT 8
mea4_7	SCREENING/AUDIOGRAM AT 9
mea4_8	SCREENING/AUDIOGRAM, AGE NOT KNOWN
mea4_9	SCREENING/AUDIOGRAM, NOT KNOWN IF DONE
mea4_10	SCREENING/DISTANT VISION CARRIED OUT
mea4_11	SCREENING/DISTANT VISION AT 4
mea4_12	SCREENING/DISTANT VISION AT 5
mea4_13	SCREENING/DISTANT VISION AT 6
mea4_14	SCREENING/DISTANT VISION AT 7
mea4_15	SCREENING/DISTANT VISION AT 8
mea4_16	SCREENING/DISTANT VISION AT 9
mea4_17	SCREENING/DISTANT VISION, AGE NOT KNOWN
mea4_18	SCREENING/DISTANT VISION, NK IF DONE
mea4_19	SCREENING/NEAR VISION CARRIED OUT
mea4_20	SCREENING/NEAR VISION AT 4
mea4_21	SCREENING/NEAR VISION AT 5
mea4_22	SCREENING/NEAR VISION AT 6
mea4_23	SCREENING/NEAR VISION AT 7
mea4_24	SCREENING/NEAR VISION AT 8
mea4_25	SCREENING/NEAR VISION AT 9
mea4_26	SCREENING/NEAR VISION, AGE NOT KNOWN
mea4_27	SCREENING/NEAR VISION, NK IF DONE
mea4_28	SCREENING/OTHER TESTS NOT CARRIED OUT
mea4_29	SCREENING/OTHER TESTS AT 4
mea4_30	SCREENING/OTHER TESTS AT 5
mea4_31	SCREENING/OTHER TESTS AT 6
mea4_32	SCREENING/OTHER TESTS AT 7
mea4_33	SCREENING/OTHER TESTS AT 8
mea4_34	SCREENING/OTHER TESTS AT 9
mea4_35	SCREENING/OTHER TESTS, AGE NOT KNOWN
mea4_36	SCREENING/OTHER TESTS, NK IF DONE
mea4_37	OTHER SCREENING TEST TYPE 1
mea4_38	OTHER SCREENING TEST TYPE 2
mea4_39	OTHER SCREENING TEST TYPE 3
mea4_40	TEXT FOR EXTRA INFO ON SCREENING TESTS
mea5_1	HAS COLOUR VISION BEEN TESTED?
mea5_2	OUTCOME: COLOUR VISION NORMAL
mea5_3	OUTCOME: RED, GREEN IMPAIRMENT
mea5_4	OUTCOME: OTHER COLOUR LOSS
mea5_5	OUTCOME: OTHER COLOUR LOSS DESCRIBED 1
mea5_6	OUTCOME: OTHER COLOUR LOSS DESCRIBED 2
mea6_1	HAS CHILD EVER HAD EMOTION,BEHAV. PROBS
mea6_2a	DESCRIPTION OF CHILD'S EMOT/BEHAV PROB(A)
mea6_2b	DESCRIPTION OF CHILD'S EMOT/BEHAV PROB(B)
mea6_3	AGES(S) OF CHILD'S EMOT/BEHAV PROBLEM
mea6_4	TEXT FOR EXTRA INFO ON EMOT/BAHAV PROB
mea7_1	ANY EVIDENCE OF ANY ILLNESS/HANDICAP ETC
mea7_2	1ST CONDITION ICD CODE
mea7_3a	1ST ILLNESS DEFECT TEXT STRING 30 CHARS (A)
mea7_3b	1ST ILLNESS DEFECT TEXT STRING 30 CHARS (B)
mea7_4	1ST CONDITION AGE
mea7_5	2ND CONDITION ICD CODE
mea7_6	2ND ILLNESS DEFECT TEXT STRING 30 CHARS
mea7_7	2ND CONDITION AGE
mea7_8	3RD CONDITION ICD CODE
mea7_9a	3RD ILLNESS DEFECT TEXT STRING 30 CHARS (A)
mea7_9b	3RD ILLNESS DEFECT TEXT STRING 30 CHARS (B)
mea7_10	3RD CONDITION AGE
mea7_11	4TH CONDITION ICD CODE
mea7_12	4TH ILLNESS DEFECT TEXT STRING 30 CHARS
